frequency_hz,ad5245_value,ad5245_readback,sample,timestamp_s,code_a,voltage_a_v,ac_a_v,code_b,voltage_b_v,ac_b_v,raw_hex
96000,1,1,128,4.769596,430,0.525031,-1.974969,182,0.222222,-2.277778,03 5C 01 6C
97000,1,1,1,7.165334,424,0.517705,-1.982295,181,0.221001,-2.278999,03 50 01 6A
97000,1,1,2,7.165351,425,0.518926,-1.981074,180,0.219780,-2.280220,03 52 01 68
97000,1,1,3,7.165353,424,0.517705,-1.982295,181,0.221001,-2.278999,03 50 01 6A
97000,1,1,4,7.165355,424,0.517705,-1.982295,183,0.223443,-2.276557,03 50 01 6E
97000,1,1,5,7.165356,426,0.520147,-1.979853,182,0.222222,-2.277778,03 54 01 6C
97000,1,1,6,7.165358,426,0.520147,-1.979853,182,0.222222,-2.277778,03 54 01 6C
97000,1,1,7,7.165359,423,0.516484,-1.983516,181,0.221001,-2.278999,03 4E 01 6A
97000,1,1,8,7.165361,423,0.516484,-1.983516,180,0.219780,-2.280220,03 4E 01 68
97000,1,1,9,7.165362,425,0.518926,-1.981074,181,0.221001,-2.278999,03 52 01 6A
97000,1,1,10,7.165365,426,0.520147,-1.979853,183,0.223443,-2.276557,03 54 01 6E
97000,1,1,11,7.165365,424,0.517705,-1.982295,182,0.222222,-2.277778,03 50 01 6C
97000,1,1,12,7.165367,426,0.520147,-1.979853,181,0.221001,-2.278999,03 54 01 6A
97000,1,1,13,7.165368,425,0.518926,-1.981074,180,0.219780,-2.280220,03 52 01 68
97000,1,1,14,7.165369,423,0.516484,-1.983516,180,0.219780,-2.280220,03 4E 01 68
97000,1,1,15,7.165370,425,0.518926,-1.981074,183,0.223443,-2.276557,03 52 01 6E
97000,1,1,16,7.165372,427,0.521368,-1.978632,182,0.222222,-2.277778,03 56 01 6C
97000,1,1,17,7.165373,426,0.520147,-1.979853,182,0.222222,-2.277778,03 54 01 6C
97000,1,1,18,7.165375,423,0.516484,-1.983516,181,0.221001,-2.278999,03 4E 01 6A
